Gen	Col	A	B	NumActs1	NumActs2	WorkAlloc1	WorkAlloc2	Idle	Fitness	Mean_F	Mean_F_franjo
2	75	0.5	0.5	4106	4056	41.3725	41.8235		0	2082.93	0.00382635	0.501913
2	76	0.5	0.5	3735	4460	39.5882	43.7647		0	2082.45	0.0299958	0.514998
2	77	0.5	0.5	4158	3956	41.4902	41.1765		0	2065.99	0.033326	0.516663
2	78	0.5	0.5	4177	4035	40	43.1569		0	2076.54	0.108171	0.554085
2	79	0.5	0.5	4221	3978	40.6275	43.0196		0	2091.6	0.0302611	0.515131
2	80	0.5	0.5	4355	3835	46.2157	37.2941		0	2074.92	0.0630326	0.531516
2	81	0.5	0.5	4214	3928	44.6078	39.0196		0	2085.03	0.0676118	0.533806
2	82	0.5	0.5	4155	4071	41.1176	42.2549		0	2085.64	0.076769	0.538384
2	83	0.5	0.5	4109	4048	43.7843	39.5294		0	2080.82	0.0923982	0.546199
2	84	0.5	0.5	3834	4352	38.6275	44.7843		0	2081.77	0.0656646	0.532832
2	85	0.5	0.5	4098	4038	40.1373	42.6275		0	2070.56	0.0305335	0.515267
2	86	0.5	0.5	4060	4091	38.8235	44.5882		0	2078.41	0.0606682	0.530334
2	87	0.5	0.5	3987	4159	39.9608	42.549		0	2061.19	0.00586891	0.502934
2	88	0.5	0.5	4043	4094	43.4118	40.0784		0	2087.47	0.0399438	0.519972
2	89	0.5	0.5	4066	4090	41.1569	42.0588		0	2077.94	0.0851504	0.542575
2	90	0.5	0.5	4072	4121	42.4902	41.4706		0	2100.36	0.0788069	0.539403
2	91	0.5	0.5	3980	4167	41.5098	41.451		0	2073.97	0.0589544	0.529477
2	92	0.5	0.5	4126	4009	40.0392	42.6863		0	2064.52	0.0434903	0.521745
2	93	0.5	0.5	4121	4038	42.4706	41		0	2086.71	0.0700985	0.535049
2	94	0.5	0.5	3927	4227	39.3725	43.451		0	2066.58	0.0288058	0.514403
2	95	0.5	0.5	3879	4251	41.7255	41.2353		0	2071.43	0.0730575	0.536529
2	96	0.5	0.5	4456	3718	47.5686	36.0196		0	2069.19	0.0729772	0.536489
